,index,Fire_Name,Lat,Long,Fire_Year,Fire_Month,Total_area_burned(ha),High_Severity(ha),TSLF
214,214,CEMETERY,39.815,-120.088,1999,9,1520.28,214.47,0
1488,1488,CERRITO,33.76,-117.381,2004,5,7233.48,24.21,0
970,970,CHALK,36.016,-121.468,2008,9,6238.53,1044.63,0
1612,1612,CHARIOT,32.928,-116.458,2013,7,2680.65,496.98,0
1672,1672,CHARLIE,34.521,-118.559,2018,9,1362.24,128.97,2
1306,1306,CHATSWORTH FIRE,34.257,-118.632,1993,10,789.12,0.0,0
553,553,CHEROKEE,39.591,-121.585,2017,10,3369.87,352.89,8
653,653,CHERRY,36.065,-121.165,1985,7,16852.77,1906.74,0
1598,1598,CHIHUAHUA 2,33.39,-116.721,2012,8,857.25,35.55,0
533,533,CHILCOOT,39.779,-120.148,2017,8,417.78,238.32,0
270,270,CHILCOOT COMPLEX,39.761,-120.133,2003,7,2331.54,366.03,0
1176,1176,CHIMNEY,35.855,-118.025,2016,6,597.6,127.89,48
1470,1470,CHIMNEY,35.041,-120.209,2003,8,516.6,4.86,1
1051,1051,CHIMNEY,35.738,-121.075,2016,8,18999.72,2838.69,0
63,63,CHINA,41.817,-123.274,1987,8,1189.8,190.35,0
50,50,CHINA,41.054,-123.157,1987,8,3695.76,937.08,0
331,331,CHINA BACK COMPLEX,41.842,-122.703,2007,7,1280.34,190.17,0
1161,1161,CHINA LAKE,35.925,-117.486,2005,7,4114.89,4.14,1
439,439,CHIPS,40.095,-121.199,2012,7,32308.56,12311.91,0
711,711,CHISPA,35.45,-120.549,1989,7,3994.74,1422.45,0
820,820,CHOCKTAW,35.459,-118.879,1997,8,4141.62,992.7,0
823,823,CHOKE,36.852,-118.712,1997,8,1390.95,692.82,1
805,805,CHOLOLLO,36.063,-118.664,1996,8,1153.98,268.29,0
556,556,CHROME,39.623,-122.559,2018,6,948.78,278.28,0
1526,1526,CIBOLA,33.323,-114.705,2006,7,640.35,132.84,1
1362,1362,CIRCLE,33.895,-116.925,1996,6,419.31,203.58,0
1054,1054,CLARK,37.799,-118.916,2016,8,1227.33,110.07,1
36,36,CLARK,40.108,-120.305,1987,8,15860.79,3358.62,0
9,9,CLARK VALLEY,39.392,-122.451,1984,10,594.9,6.57,7
517,517,CLAYTON,38.915,-122.587,2016,8,1502.82,260.91,0
242,242,CLEAR,41.849,-121.112,2001,7,1968.66,0.36,1
706,706,CLEARHOUSE,37.673,-119.88,1988,7,919.08,215.55,1
126,126,CLEVELAND,38.833,-120.432,1992,9,8838.09,6298.38,0
956,956,CLOVER,36.133,-118.084,2008,5,5980.14,1553.67,0
469,469,CLOVER,40.457,-122.522,2013,9,3345.84,677.7,2
1264,1264,COCHEO,34.881,-120.622,1989,6,471.69,3.78,1
824,824,COFFEE,36.162,-118.758,1997,9,910.17,217.08,0
484,484,COFFEE COMPLEX,41.155,-122.82,2014,8,2585.7,1536.12,0
417,417,COFFIN,40.684,-122.835,2009,8,441.27,207.09,0
1617,1617,COLBY,34.16,-117.875,2014,1,817.47,264.6,3
516,516,COLD,38.536,-122.077,2016,8,2545.02,284.58,0
41,41,COLD,40.527,-123.398,1987,8,5987.79,580.86,0
1046,1046,COLEMAN,36.125,-121.284,2016,6,1163.43,34.56,1
1213,1213,COLORADO 2,33.986,-114.489,1986,4,567.63,228.42,1
336,336,COLYEAR,40.078,-122.679,2008,5,714.96,32.04,1
1174,1174,COMANCHE,35.117,-118.759,2011,9,10507.5,1247.94,10
1623,1623,COMBAT,33.42,-117.545,2014,5,529.29,27.54,2
1269,1269,CONCORDIA,33.744,-117.402,1989,7,664.38,0.81,0
